#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-11-16T15:22:07 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ582c79556c5c 
#INFO -out.max=unlimited 
#INFO queryParameters=15 
#-oc.form=sexa
#-out.max=unlimited
#-order=I
#-out.src=J/AJ/131/2766/table5
#-nav=cat:J/AJ/131/2766&tab:{J/AJ/131/2766/table5}&key:source=J/AJ/131/2766/table5&HTTPPRM:&&-ref=VIZ582c79556c5c&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=z&-out=imag&-out=iMAG&-out=Cor&-ignore=SDSS=*&SDSS=SDSS&NED=NED&Simbad=Simbad&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/131/2766/table5
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/131/2766/table5
#-order=I
#-out=z
#-out=imag
#-out=iMAG
#-out=Cor
#

#RESOURCE=yCat_51312766
#Name: J/AJ/131/2766
#Title: Quasar luminosity function from SDSS-DR3 (Richards+, 2006)
#Table J_AJ_131_2766_table5:
#Name: J/AJ/131/2766/table5
#Title: Statistical quasar sample
#---Details of Columns:
#     z          (F6.3)  Redshift [ucd=src.redshift]
#     imag (mag) (F5.2)  Dereddened i band magnitude [ucd=phot.mag;em.opt.I]
#     iMAG (mag) (F6.2)  Absolute i band magnitude at z=2 [ucd=phys.magAbs]
#     Cor        (F5.2)  [0,1] Selection function value [ucd=meta.note]
# ------ ----- ------ -----
#        imag  iMAG        
# z      (mag) (mag)  Cor  
# ------ ----- ------ -----
 1.389 18.54 -26.27  0.95
 1.744 18.66 -26.66  0.95
 3.921 19.92 -27.41  0.94
 4.067 19.79 -27.63  0.94
 0.948 18.92 -25.15  0.95
 1.738 18.91 -26.40  0.95
 1.057 19.50 -24.76  0.00
 1.216 18.65 -25.86  0.95
 0.886 18.44 -25.49  0.95
 0.681 19.06 -24.24  0.90
 1.700 19.04 -26.21  0.95
 1.285 18.43 -26.21  0.95
 1.774 18.95 -26.40  0.95
 1.731 18.32 -26.98  0.95
 1.267 17.99 -26.62  0.95
 2.821 18.95 -27.61  0.15
 0.572 18.98 -23.85  0.95
 0.536 18.94 -23.73  0.95
 1.406 18.50 -26.34  0.95
 3.213 18.39 -28.48  0.86
 0.772 18.78 -24.85  0.95
 1.587 18.82 -26.25  0.95
 0.539 18.86 -23.82  0.95
 1.934 18.87 -26.74  0.95
 2.762 17.76 -28.75  0.95
 1.800 18.83 -26.56  0.95
 0.894 18.81 -25.15  0.95
 1.736 18.59 -26.71  0.95
 1.276 18.91 -25.71  0.95
 0.915 17.61 -26.40  0.95
 1.473 18.93 -25.98  0.95
 3.051 19.98 -26.78  0.59
 0.571 19.09 -23.74  0.95
 0.397 18.84 -23.19  0.95
 0.583 19.10 -23.78  0.95
 0.508 19.09 -23.45  0.95
 1.823 18.37 -27.06  0.95
 1.170 19.03 -25.40  0.95
 3.079 19.94 -26.83  0.59
 1.248 19.03 -25.54  0.95
 3.011 18.82 -27.91  0.70
 3.510 19.20 -27.84  0.64
 1.702 18.64 -26.62  0.95
 1.551 19.07 -25.94  0.95
 1.625 18.29 -26.84  0.95
 1.036 18.56 -25.66  0.95
 1.572 18.87 -26.18  0.95
 1.153 19.00 -25.41  0.95
 2.003 18.20 -27.52  0.95
 0.738 18.86 -24.67  0.94
 0.360 18.29 -23.54  0.95
 0.436 17.93 -24.26  0.95
 0.997 18.47 -25.68  0.95
 1.576 18.95 -26.10  0.95
 2.205 18.90 -27.10  0.93
 0.851 18.41 -25.44  0.95
 1.085 18.90 -25.40  0.95
 0.852 19.20 -24.65  0.00
 1.455 19.01 -25.88  0.95
 0.967 18.25 -25.86  0.95
 0.963 19.07 -25.02  0.95
 1.705 18.89 -26.37  0.95
 1.407 18.48 -26.36  0.95
 1.583 18.15 -26.92  0.95
 0.226 16.77 -23.71  0.95
 3.220 19.70 -27.18  0.77
 1.755 19.07 -26.26  0.95
 1.318 17.72 -26.97  0.95
 0.472 18.41 -23.96  0.95
 1.249 17.71 -26.87  0.95
 2.217 18.31 -27.70  0.93
 3.626 19.93 -27.17  0.63
 1.454 18.49 -26.41  0.95
 1.161 18.54 -25.88  0.95
 1.501 18.70 -26.24  0.95
 2.157 18.78 -27.16  0.94
 0.540 18.46 -24.23  0.95
 1.227 18.54 -26.00  0.95
 1.841 18.23 -27.22  0.95
 1.250 19.06 -25.52  0.95
 2.287 18.83 -27.28  0.86
 2.530 18.07 -28.30  0.71
 3.388 19.40 -27.61  0.79
 0.762 19.08 -24.53  0.95
 2.244 18.77 -27.28  0.92
 0.815 18.71 -25.04  0.95
 0.781 19.08 -24.58  0.95
 0.514 16.44 -26.12  0.95
 0.433 18.60 -23.57  0.95
 0.573 19.00 -23.84  0.95
 1.178 17.54 -26.91  0.95
 2.641 19.12 -27.32  0.00
 2.175 17.62 -28.34  0.94
 1.435 18.89 -25.98  0.95
 0.761 18.23 -25.38  0.95
 3.301 19.99 -26.95  0.64
 0.556 18.91 -23.86  0.95
 0.550 17.91 -24.81  0.95
 1.878 19.03 -26.47  0.95
 1.637 18.40 -26.75  0.95
 1.654 18.56 -26.62  0.95
 0.465 18.71 -23.62  0.95
 0.471 18.60 -23.76  0.95
 0.932 18.35 -25.69  0.95
 2.387 18.34 -27.88  0.77
 1.582 18.06 -27.00  0.95
 1.730 19.03 -26.27  0.95
 3.459 19.34 -27.70  0.64
 0.504 18.88 -23.63  0.95
 2.174 18.97 -26.98  0.94
 1.100 18.80 -25.52  0.95
 0.434 18.66 -23.52  0.95
 1.417 19.09 -25.76  0.95
 1.304 18.64 -26.03  0.95
 0.718 19.08 -24.38  0.94
 0.676 18.88 -24.39  0.93
 1.395 18.93 -25.89  0.95
 1.850 18.82 -26.65  0.95
 1.760 18.53 -26.80  0.95
 1.053 17.93 -26.32  0.95
 0.878 18.98 -24.94  0.95
 1.159 18.63 -25.79  0.95
 1.435 18.48 -26.39  0.95
 2.513 19.01 -27.35  0.64
 1.668 18.65 -26.55  0.95
 1.056 18.58 -25.67  0.95
 1.701 18.25 -27.00  0.95
 1.388 18.60 -26.21  0.95
 1.574 18.53 -26.52  0.95
 1.866 19.04 -26.44  0.95
 0.977 18.68 -25.44  0.95
 1.202 18.84 -25.65  0.95
 3.184 20.16 -26.68  0.64
 3.044 19.86 -26.88  0.44
 1.756 18.45 -26.88  0.95
 2.177 18.76 -27.21  0.94
 1.538 17.10 -27.89  0.95
 1.822 17.91 -27.51  0.95
 2.318 18.68 -27.46  0.80
 0.585 17.95 -24.93  0.95
 2.296 18.74 -27.38  0.86
 1.301 18.88 -25.79  0.95
 1.741 19.00 -26.31  0.95
 0.608 18.64 -24.32  0.95
 1.781 19.09 -26.28  0.95
 2.264 18.80 -27.28  0.86
 1.774 18.95 -26.41  0.95
 0.729 18.60 -24.90  0.94
 2.830 19.89 -26.67  0.02
 1.530 18.47 -26.51  0.95
 1.419 18.76 -26.09  0.95
 1.191 18.01 -26.46  0.95
 1.348 18.82 -25.92  0.95
 1.228 19.00 -25.54  0.95
 0.650 18.85 -24.30  0.93
 2.702 19.86 -26.61  0.00
 2.079 18.96 -26.86  0.95
 2.227 19.04 -26.99  0.92
 1.929 18.11 -27.48  0.95
 0.548 19.07 -23.65  0.95
 2.065 17.55 -28.25  0.95
 0.691 18.17 -25.18  0.94
 1.530 18.90 -26.08  0.95
 0.340 18.47 -23.24  0.95
 4.105 19.25 -28.19  0.94
 2.571 18.60 -27.80  0.58
 3.683 18.46 -28.69  0.94
 1.725 16.86 -28.43  0.95
 2.049 18.21 -27.57  0.95
 0.979 19.00 -25.12  0.95
 1.833 19.07 -26.37  0.95
 1.654 19.08 -26.10  0.95
 0.345 18.54 -23.19  0.95
 0.965 18.48 -25.62  0.95
 1.431 18.99 -25.88  0.95
 1.211 19.02 -25.49  0.95
 3.531 20.05 -27.00  0.43
 3.058 19.96 -26.79  0.59
 1.449 18.93 -25.96  0.95
 3.530 18.45 -28.60  0.75
 2.880 19.02 -27.59  0.41
 1.658 19.07 -26.11  0.95
 1.498 19.09 -25.85  0.95
 2.168 18.37 -27.58  0.94
 2.138 18.49 -27.41  0.95
 1.955 17.63 -28.01  0.95
 1.510 19.01 -25.93  0.95
 0.633 18.79 -24.29  0.94
 2.111 18.12 -27.75  0.95
 0.495 18.59 -23.88  0.95
 1.062 18.47 -25.79  0.95
 1.695 18.22 -27.02  0.95
 0.451 17.95 -24.31  0.95
 2.038 18.98 -26.79  0.95
 0.681 18.59 -24.71  0.91
 1.720 18.63 -26.65  0.95
 2.001 19.04 -26.67  0.95
 3.532 19.01 -28.04  0.63
 2.903 19.16 -27.46  0.20
 1.441 18.90 -25.98  0.95
 0.411 18.24 -23.85  0.95
 0.468 18.88 -23.47  0.95
 1.906 19.00 -26.56  0.95
 0.767 18.94 -24.68  0.95
 0.686 18.18 -25.15  0.94
 1.599 18.72 -26.37  0.95
 0.554 17.37 -25.38  0.95
 3.257 19.81 -27.10  0.76
 1.930 18.83 -26.77  0.95
 1.264 19.07 -25.53  0.95
 1.764 18.64 -26.70  0.95
 1.423 18.01 -26.85  0.95
 1.137 18.04 -26.34  0.95
 2.997 19.81 -26.90  0.29
 1.911 18.67 -26.89  0.95
 1.742 18.73 -26.58  0.95
 1.492 18.89 -26.03  0.95
 0.538 18.57 -24.10  0.95
 1.125 18.72 -25.65  0.95
 1.372 18.83 -25.96  0.95
 0.472 18.33 -24.03  0.95
 0.465 18.78 -23.55  0.95
 2.393 18.90 -27.33  0.71
 3.013 18.90 -27.83  0.70
 2.026 17.37 -28.38  0.95
 3.529 18.29 -28.76  0.76
 1.528 18.24 -26.73  0.95
 1.139 18.95 -25.44  0.95
 1.810 17.80 -27.61  0.95
 3.225 19.83 -27.05  0.73
 1.422 18.84 -26.02  0.95
 1.206 18.60 -25.90  0.95
 0.688 18.21 -25.12  0.93
 1.885 17.73 -27.78  0.95
 1.866 18.75 -26.74  0.95
 0.345 17.96 -23.78  0.95
 1.618 18.82 -26.30  0.95
 1.026 18.86 -25.35  0.95
 1.804 18.75 -26.65  0.95
 2.783 18.05 -28.47  0.05
 3.195 18.64 -28.21  0.84
 1.499 18.35 -26.59  0.95
 0.897 19.03 -24.93  0.95
 1.917 18.77 -26.80  0.95
 1.603 18.84 -26.26  0.95
 0.428 19.08 -23.07  0.95
 1.939 19.10 -26.51  0.95
 1.401 18.99 -25.84  0.95
 3.644 19.41 -27.71  0.73
 0.923 16.88 -27.14  0.95
 0.517 18.77 -23.81  0.95
 1.946 18.84 -26.78  0.95
 1.761 19.04 -26.29  0.95
 0.855 18.86 -25.00  0.95
 1.386 17.20 -27.61  0.95
 1.228 18.53 -26.01  0.95
 1.384 17.84 -26.96  0.95
 0.630 18.83 -24.23  0.94
 1.364 18.98 -25.79  0.95
 1.845 17.95 -27.51  0.95
 1.606 18.83 -26.28  0.95
 1.690 18.71 -26.52  0.95
 1.416 18.17 -26.68  0.95
 1.037 18.96 -25.26  0.95
 2.238 18.02 -28.02  0.93
 1.225 18.91 -25.63  0.95
 0.979 19.04 -25.08  0.95
 2.447 18.84 -27.45  0.69
 1.401 18.33 -26.50  0.95
 0.348 18.39 -23.36  0.95
 1.013 17.72 -26.46  0.95
 0.743 18.53 -25.02  0.95
 1.339 18.76 -25.97  0.95
 0.517 17.09 -25.49  0.95
 1.034 18.83 -25.39  0.95
 1.617 18.65 -26.48  0.95
 1.628 19.07 -26.07  0.95
 1.651 18.00 -27.18  0.95
 1.540 18.93 -26.07  0.95
 3.229 18.59 -28.30  0.85
 1.538 19.01 -25.98  0.95
 2.120 18.47 -27.41  0.95
 1.629 18.05 -27.09  0.95
 1.794 18.98 -26.40  0.95
 3.490 19.71 -27.33  0.55
 0.377 18.78 -23.15  0.95
 1.103 19.03 -25.30  0.95
 3.616 19.87 -27.23  0.64
 0.964 18.75 -25.35  0.95
 0.232 17.64 -22.91  0.95
 0.599 18.64 -24.29  0.95
 1.205 18.92 -25.58  0.95
 0.434 18.61 -23.56  0.95
 1.953 18.25 -27.39  0.95
 1.205 18.82 -25.68  0.95
 1.941 18.83 -26.79  0.95
 0.727 18.94 -24.55  0.95
 1.997 19.01 -26.69  0.95
 1.591 18.95 -26.12  0.95
 2.303 19.10 -27.03  0.00
 2.985 20.08 -26.62  0.28
 0.492 19.06 -23.40  0.95
 4.609 19.50 -28.20  0.95
 0.953 18.25 -25.83  0.95
 3.115 17.29 -29.51  0.85
 0.768 18.36 -25.27  0.95
 1.501 18.50 -26.43  0.95
 1.910 18.92 -26.64  0.95
 1.817 18.64 -26.77  0.95
 0.422 18.46 -23.67  0.95
 3.391 20.05 -26.96  0.69
 1.863 18.85 -26.63  0.95
 2.490 19.01 -27.32  0.66
 0.430 18.87 -23.29  0.95
 2.617 18.95 -27.48  0.24
 1.070 17.03 -27.24  0.95
 1.856 18.97 -26.50  0.95
 2.024 19.05 -26.70  0.95
 1.823 18.92 -26.51  0.95
 1.015 18.55 -25.63  0.95
 1.522 18.33 -26.64  0.95
 1.406 18.34 -26.49  0.95
 1.413 19.00 -25.85  0.95
 0.573 18.92 -23.92  0.95
 1.716 18.57 -26.71  0.95
 2.171 18.07 -27.89  0.94
 0.709 18.88 -24.55  0.94
 1.479 18.19 -26.73  0.95
 1.966 18.98 -26.68  0.95
 2.754 19.45 -27.05  0.01
 2.207 18.84 -27.16  0.93
 0.358 18.12 -23.70  0.95
 1.082 16.88 -27.41  0.95
 1.035 17.68 -26.54  0.95
 1.722 19.06 -26.23  0.95
 1.730 18.97 -26.33  0.95
 1.828 18.71 -26.72  0.95
 2.292 18.29 -27.82  0.87
 1.849 19.07 -26.39  0.95
 2.024 19.09 -26.65  0.95
 0.814 18.61 -25.14  0.95
 1.652 19.08 -26.10  0.95
 1.242 18.71 -25.85  0.95
 1.627 18.84 -26.30  0.95
 2.221 18.75 -27.28  0.92
 0.867 17.58 -26.31  0.95
 3.447 19.70 -27.33  0.54
 2.967 18.95 -27.74  0.54
 2.939 19.65 -27.00  0.17
 0.873 18.97 -24.93  0.95
 1.245 19.05 -25.52  0.95
 1.603 19.08 -26.01  0.95
 0.532 18.34 -24.31  0.95
 1.373 19.06 -25.72  0.95
 1.149 18.92 -25.49  0.95
 4.196 19.69 -27.82  0.95
 1.341 18.84 -25.90  0.95
 3.269 18.95 -27.97  0.89
 0.397 17.91 -24.11  0.95
 0.972 18.08 -26.03  0.95
 3.375 19.81 -27.19  0.77
 1.306 18.95 -25.72  0.95
 1.282 19.03 -25.60  0.95
 1.214 18.67 -25.84  0.95
 2.107 19.01 -26.85  0.95
 1.934 19.08 -26.53  0.95
 1.736 18.77 -26.53  0.95
 2.637 18.47 -27.96  0.26
 2.066 18.78 -27.02  0.95
 2.233 18.50 -27.54  0.93
 2.910 19.95 -26.67  0.15
 1.074 19.02 -25.26  0.95
 1.671 18.83 -26.37  0.95
 0.413 18.61 -23.49  0.95
 2.076 18.11 -27.71  0.95
 0.576 18.11 -24.74  0.95
 3.078 19.87 -26.90  0.61
 1.667 18.59 -26.61  0.95
 0.238 17.45 -23.19  0.95
 0.556 18.85 -23.91  0.95
 1.757 18.38 -26.95  0.95
 1.504 18.13 -26.81  0.95
 0.842 18.32 -25.50  0.95
 1.506 18.60 -26.35  0.95
 1.907 19.00 -26.55  0.95
 0.833 18.63 -25.17  0.95
 3.630 19.41 -27.70  0.73
 0.580 19.02 -23.84  0.95
 1.586 18.93 -26.14  0.95
 0.936 17.96 -26.09  0.95
 1.736 18.64 -26.67  0.95
 1.847 18.10 -27.36  0.95
 0.657 17.90 -25.29  0.94
 1.093 18.61 -25.70  0.95
 1.706 18.66 -26.60  0.95
 0.410 17.16 -24.92  0.95
 1.290 18.89 -25.76  0.95
 0.846 18.51 -25.32  0.95
 0.226 17.60 -22.87  0.95
 1.577 18.40 -26.66  0.95
 0.359 18.47 -23.35  0.95
 1.538 18.65 -26.34  0.95
 0.450 18.44 -23.81  0.95
 0.876 18.82 -25.09  0.95
 0.509 18.36 -24.18  0.95
 4.092 19.37 -28.07  0.94
 1.546 18.42 -26.58  0.95
 0.985 18.89 -25.25  0.95
 1.591 18.95 -26.13  0.95
 3.276 20.16 -26.77  0.72
 2.392 18.61 -27.61  0.73
 3.843 19.49 -27.78  0.95
 2.033 19.08 -26.68  0.95
 0.484 19.04 -23.39  0.95
 0.876 18.89 -25.01  0.95
 1.217 17.18 -27.33  0.95
 1.711 18.70 -26.57  0.95
 1.483 19.02 -25.90  0.95
 1.408 18.87 -25.97  0.95
 0.177 16.77 -23.09  0.95
 1.594 18.87 -26.21  0.95
 0.819 18.97 -24.79  0.95
 2.954 19.57 -27.10  0.33
 0.343 18.34 -23.38  0.95
 0.355 17.99 -23.81  0.95
 2.689 17.34 -29.12  0.95
 0.554 18.22 -24.52  0.95
 1.095 18.48 -25.84  0.95
 2.839 18.22 -28.35  0.95
 1.403 18.99 -25.84  0.95
 0.756 18.42 -25.17  0.95
 1.312 18.37 -26.31  0.95
 1.227 18.69 -25.85  0.95
 0.506 18.48 -24.04  0.95
 1.740 17.97 -27.34  0.95
 3.153 19.10 -27.73  0.95
 1.416 18.80 -26.05  0.95
 1.004 19.04 -25.12  0.95
 2.189 19.00 -26.97  0.94
 0.895 16.69 -27.26  0.95
 0.391 17.59 -24.41  0.95
 0.407 18.81 -23.25  0.95
 1.634 18.72 -26.43  0.95
 1.875 18.99 -26.51  0.95
 1.935 18.99 -26.61  0.95
 0.894 18.68 -25.27  0.95
 3.688 19.61 -27.54  0.81
 1.427 18.27 -26.59  0.95
 1.003 18.15 -26.01  0.95
 3.099 20.15 -26.64  0.52
 2.155 18.05 -27.88  0.94
 1.877 19.07 -26.43  0.95
 3.385 20.18 -26.83  0.65
 0.754 18.85 -24.74  0.95
 1.127 19.00 -25.37  0.95
 3.176 20.19 -26.66  0.64
 1.288 17.94 -26.70  0.95
 0.532 19.07 -23.58  0.95
 1.596 18.61 -26.48  0.95
 1.754 18.93 -26.40  0.95
 1.320 17.85 -26.85  0.95
 0.489 18.57 -23.87  0.95
 0.883 17.36 -26.56  0.95
 1.541 18.62 -26.37  0.95
 1.136 18.51 -25.87  0.95
 1.736 17.98 -27.33  0.95
 1.118 19.08 -25.28  0.95
 1.034 19.09 -25.13  0.95
 0.588 18.39 -24.50  0.95
 2.343 18.56 -27.61  0.78
 2.003 18.39 -27.33  0.95
 1.011 18.12 -26.06  0.95
 2.069 18.93 -26.88  0.95
 2.825 18.83 -27.73  0.14
 1.639 18.45 -26.71  0.95
 1.556 18.02 -26.99  0.95
 1.728 17.49 -27.80  0.95
 2.192 19.04 -26.94  0.94
 1.276 17.75 -26.87  0.95
 0.241 17.65 -23.03  0.95
 2.069 19.05 -26.76  0.95
 2.002 17.85 -27.86  0.95
 1.536 18.30 -26.68  0.95
 1.165 18.91 -25.51  0.95
 0.449 17.98 -24.27  0.95
 2.602 18.57 -27.85  0.27
 2.188 18.31 -27.66  0.94
 1.198 18.27 -26.21  0.95
 1.038 18.83 -25.39  0.95
 2.056 18.93 -26.86  0.95
 1.094 19.85 -24.47  0.00
 2.189 17.18 -28.80  0.94
 2.300 18.76 -27.36  0.86
 1.591 18.89 -26.19  0.95
 0.452 18.09 -24.17  0.95
 2.527 18.24 -28.13  0.71
 2.959 19.45 -27.23  0.32
 0.398 18.96 -23.07  0.95
 0.939 18.26 -25.79  0.95
 2.161 18.94 -27.00  0.94
 2.522 18.28 -28.08  0.71
 1.315 18.93 -25.77  0.95
 1.273 19.06 -25.56  0.95
 1.348 18.22 -26.52  0.95
 1.207 18.86 -25.64  0.95
 1.537 18.27 -26.71  0.95
 1.488 18.57 -26.35  0.95
 1.743 17.85 -27.46  0.95
 0.707 18.82 -24.60  0.94
 0.810 18.29 -25.45  0.95
 2.261 18.90 -27.18  0.86
 1.722 17.80 -27.49  0.95
 0.946 18.03 -26.04  0.95
 1.641 19.04 -26.12  0.95
 2.349 18.70 -27.48  0.78
 0.344 18.51 -23.22  0.95
 1.572 18.93 -26.12  0.95
 1.537 18.84 -26.14  0.95
 0.804 18.36 -25.37  0.95
 1.552 18.29 -26.72  0.95
 2.141 17.81 -28.10  0.95
 1.748 18.32 -26.99  0.95
 0.685 17.98 -25.34  0.92
 0.982 19.05 -25.08  0.95
 1.623 18.78 -26.35  0.95
 3.073 18.36 -28.40  0.79
 1.148 18.09 -26.31  0.95
 0.734 18.82 -24.69  0.95
 3.324 20.06 -26.91  0.70
 2.229 18.96 -27.07  0.92
 0.419 16.77 -25.35  0.95
 0.578 19.09 -23.77  0.95
 0.320 17.44 -24.13  0.95
 1.942 18.88 -26.74  0.95
 1.622 18.27 -26.86  0.95
 0.658 17.75 -25.44  0.92
 0.434 17.86 -24.32  0.95
 2.067 17.50 -28.31  0.95
 1.298 18.85 -25.81  0.95
 4.715 19.99 -27.66  0.95
 1.540 17.38 -27.61  0.95
 3.256 20.10 -26.80  0.75
 3.633 20.18 -26.93  0.56
 1.445 19.05 -25.84  0.95
 1.553 18.46 -26.55  0.95
 1.585 18.80 -26.27  0.95
 3.273 19.92 -27.00  0.79
 3.722 19.20 -27.98  0.93
 1.556 18.56 -26.46  0.95
 1.576 18.48 -26.58  0.95
 1.320 17.86 -26.83  0.95
 2.450 17.85 -28.45  0.76
 1.992 18.38 -27.32  0.95
 0.487 18.54 -23.90  0.95
 1.671 18.90 -26.30  0.95
 1.976 18.89 -26.79  0.95
 1.462 18.25 -26.65  0.95
 1.955 18.97 -26.67  0.95
 1.672 18.04 -27.17  0.95
 1.789 19.00 -26.37  0.95
 1.537 18.83 -26.15  0.95
 2.176 18.16 -27.80  0.94
 3.067 19.40 -27.37  0.69
 1.659 18.62 -26.57  0.95
 1.437 18.92 -25.95  0.95
 0.741 18.99 -24.55  0.95
 3.123 19.96 -26.84  0.64
 1.046 19.09 -25.15  0.95
 0.370 18.36 -23.53  0.95
 0.643 18.91 -24.20  0.94
 1.978 19.05 -26.62  0.95
 0.988 18.89 -25.25  0.95
 0.300 18.10 -23.32  0.95
 1.431 18.65 -26.22  0.95
 2.160 18.78 -27.16  0.94
 1.304 18.49 -26.18  0.95
 1.410 18.66 -26.19  0.95
 2.564 18.35 -28.05  0.60
 0.521 19.07 -23.53  0.95
 0.775 18.71 -24.94  0.95
 1.445 18.94 -25.94  0.95
 2.240 18.28 -27.77  0.93
 1.931 18.65 -26.95  0.95
 1.168 18.98 -25.45  0.95
 4.075 19.89 -27.54  0.94
 1.945 18.61 -27.01  0.95
 2.050 18.81 -26.98  0.95
 2.027 18.77 -26.98  0.95
 1.392 18.44 -26.38  0.95
 3.754 20.15 -27.06  0.88
 2.163 17.34 -28.60  0.95
 0.839 18.66 -25.15  0.95
 1.499 18.82 -26.11  0.95
 3.672 19.65 -27.49  0.81
 2.917 18.70 -27.93  0.44
 3.901 20.17 -27.14  0.91
 0.642 19.10 -24.02  0.00
 2.205 18.72 -27.28  0.92
 3.580 20.14 -26.94  0.43
 1.791 18.90 -26.48  0.95
 0.981 18.55 -25.58  0.95
 0.624 19.07 -23.96  0.94
 0.603 19.08 -23.86  0.94
 1.308 18.59 -26.09  0.95
 2.277 18.97 -27.12  0.85
 0.603 18.91 -24.03  0.94
 2.962 18.82 -27.86  0.55
 1.262 18.47 -26.13  0.95
 4.204 19.46 -28.06  0.94
 2.177 18.93 -27.03  0.94
 1.131 19.08 -25.30  0.95
 3.918 19.65 -27.68  0.94
 1.711 18.52 -26.75  0.95
 1.325 20.20 -24.51  0.00
 3.062 19.44 -27.32  0.69
 1.074 18.82 -25.46  0.95
 2.285 18.60 -27.50  0.86
 1.130 18.73 -25.64  0.95
 0.441 18.54 -23.68  0.95
 2.830 19.82 -26.74  0.02
 1.645 19.07 -26.10  0.95
 2.311 19.00 -27.13  0.78
 0.464 19.07 -23.25  0.95
 1.647 19.00 -26.17  0.95
 0.917 18.72 -25.29  0.95
 1.741 17.70 -27.61  0.95
 2.197 18.86 -27.13  0.94
 1.459 16.79 -28.11  0.95
 1.619 18.68 -26.45  0.95
 3.241 17.87 -29.02  0.87
 1.325 18.98 -25.73  0.95
 0.650 18.52 -24.63  0.91
 1.778 18.93 -26.43  0.95
 0.386 18.90 -23.07  0.95
 2.428 18.19 -28.08  0.74
 2.504 19.00 -27.34  0.64
 1.465 17.96 -26.94  0.95
 1.907 18.91 -26.65  0.95
 0.727 18.32 -25.18  0.95
 1.477 18.76 -26.15  0.95
 2.209 18.84 -27.17  0.93
 1.228 17.95 -26.58  0.95
 3.128 19.35 -27.46  0.76
 2.073 18.17 -27.65  0.95
 2.091 18.68 -27.16  0.95
 1.285 18.45 -26.19  0.95
 1.499 18.96 -25.98  0.95
 2.311 17.22 -28.92  0.85
 1.574 18.49 -26.56  0.95
 1.645 18.97 -26.19  0.95
 2.936 17.53 -29.12  0.47
 1.298 17.40 -27.26  0.95
 1.737 17.79 -27.52  0.95
 2.167 18.92 -27.03  0.94
 1.581 17.33 -27.73  0.95
 1.727 18.03 -27.26  0.95
 1.248 18.93 -25.65  0.95
 3.744 19.81 -27.38  0.92
 0.853 18.93 -24.93  0.95
 1.772 18.01 -27.35  0.95
 1.384 19.05 -25.75  0.95
 0.858 18.77 -25.09  0.95
 0.424 18.72 -23.41  0.95
 1.160 18.69 -25.73  0.95
 1.241 18.52 -26.04  0.95
 1.056 18.90 -25.35  0.95
 1.547 18.75 -26.26  0.95
 3.142 19.89 -26.93  0.66
 1.365 18.49 -26.28  0.95
 1.880 18.45 -27.06  0.95
 0.301 17.29 -24.14  0.95
 1.327 19.05 -25.66  0.95
 1.981 18.55 -27.13  0.95
 1.549 18.66 -26.35  0.95
 0.800 18.22 -25.50  0.95
 0.999 18.01 -26.15  0.95
 1.158 17.62 -26.79  0.95
 1.574 17.89 -27.16  0.95
 0.526 18.46 -24.16  0.95
 2.345 18.26 -27.91  0.82
 1.867 18.59 -26.90  0.95
 2.309 18.80 -27.33  0.77
 0.448 18.52 -23.73  0.95
 1.532 18.24 -26.74  0.95
 1.225 19.06 -25.47  0.95
 1.702 18.48 -26.77  0.95
 1.972 19.07 -26.60  0.95
 0.600 19.07 -23.86  0.95
 0.322 18.25 -23.33  0.95
 3.228 20.09 -26.79  0.69
 2.209 18.70 -27.31  0.93
 0.549 17.41 -25.32  0.95
 1.217 18.67 -25.85  0.95
 1.535 18.86 -26.13  0.95
 1.629 17.94 -27.20  0.95
 2.685 18.75 -27.71  0.09
 1.025 18.12 -26.08  0.95
 1.057 19.06 -25.19  0.95
 1.491 18.82 -26.11  0.95
 3.337 17.79 -29.19  0.88
 3.945 18.87 -28.48  0.94
 1.943 18.33 -27.29  0.95
 0.773 19.09 -24.55  0.95
 2.389 19.00 -27.22  0.68
 2.375 18.56 -27.64  0.75
 2.924 20.14 -26.50  0.13
 0.642 18.29 -24.82  0.94
 3.539 20.19 -26.86  0.40
 1.402 18.86 -25.97  0.95
 1.867 18.05 -27.44  0.95
 3.789 19.50 -27.73  0.91
 1.355 18.33 -26.43  0.95
 0.618 18.85 -24.15  0.95
 5.196 19.51 -28.53  0.95
 0.388 18.77 -23.21  0.95
 3.272 19.25 -27.67  0.85
 0.791 19.07 -24.62  0.95
 3.743 19.82 -27.38  0.92
 2.968 18.02 -28.67  0.57
 2.320 18.90 -27.25  0.77
 3.053 19.24 -27.51  0.70
 2.167 18.81 -27.14  0.94
 1.247 18.92 -25.65  0.95
 0.552 19.05 -23.69  0.95
 1.881 19.07 -26.44  0.95
